feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
0.8786961144662776,0.9500796028427433,0.3862713922645583,0.20793275153309287,0.9040111649644731,0.32345850666154996,0.06167599743763874,0.3590723368671578,0.604981960024375,0.7255344315789086,0
0.9686799285761097,0.09508344459880858,0.5387181998300495,0.20004229509172444,0.8875980051078498,0.7133256615226645,0.697535474987253,0.16658534766830835,0.1232367576366562,0.029468234326742948,0
0.8305822354161112,0.31867451305865113,0.15079247486709735,0.21565593856077314,0.15702818560553689,0.49209154310006,0.3778689649293486,0.7286266372958883,0.5094532098462351,0.31107696324438705,1
0.8182396958485013,0.28732176615649063,0.5982964455202968,0.20066465742040096,0.5910089631250621,0.5812043726084773,0.33570698536789756,0.9614556449242218,0.4148694250061016,0.09232033980985366,1
0.9969572907236065,0.5234502912931353,0.49873585134974785,0.3496588007127319,0.49171448207214896,0.3588519630892877,0.7598763672661095,0.8726822974183757,0.10218294545852291,0.591123015744648,0
0.5753457323197242,0.07369223273658665,0.024600653371470327,0.09796929181406566,0.3405320987381759,0.8339575118325924,0.5984389367120294,0.044212454709792626,0.449609317660808,0.9081504552546174,1
0.5504519511989018,0.24111552816916293,0.7515835400926443,0.8674363691327986,0.51961849518361,0.7957268193963999,0.9503471706898391,0.018786374615945345,0.6094932993245393,0.6154598436969007,1
0.7644143121438477,0.8213485171151592,0.7701770320685851,0.48217870574113286,0.182839830591634,0.34348854793477757,0.8804422770237561,0.3899847161825023,0.3597782394902671,0.5683617909330311,0
0.24128131322927737,0.6214684453256691,0.09398095140015372,0.5023231132036182,0.17847317127036422,0.24610015621757075,0.7373150981808883,0.44166809531078555,0.9549755987576314,0.3076149897235355,0
0.1767524858809424,0.8312136993685211,0.26165563954814053,0.30294834319570163,0.4977854938281687,0.5988190115190409,0.5624648422986896,0.44107456277803025,0.7438508800909356,0.7493364521590254,1
0.6835190292614555,0.42330885669818263,0.2801515420350277,0.74892712191573,0.17345785708843953,0.4285649740249302,0.21500578362341383,0.9178258733413808,0.8149829515345854,0.2460657169321634,0
0.2944085105899996,0.17629187797446866,0.2209316712626016,0.27140590527433905,0.7460334430406578,0.42640581110190967,0.49863762055149996,0.5387389086039398,0.9110976122054667,0.6945765437728927,0
0.9746080612592424,0.9313803079911458,0.44163574920444404,0.7297832510630127,0.11826392833652077,0.17276450670779075,0.9868672024229196,0.39793843636523096,0.5009338980523965,0.8959372969827099,0
